idx,age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,sex_M,address_U,famsize_LE3,Pstatus_T,nursery,plans_universitypast_failures
0,16,4,4,1,2,5,4,4.0,1.0,2.0,5,1,1,0,1,1,10
1,17,4,4,1,1,5,3,4.0,1.0,2.0,5,0,1,0,1,1,10
2,16,1,1,2,1,4,5,5.0,2.0,4.0,5,1,0,1,1,1,10
3,18,1,2,2,1,3,4,4.0,2.0,4.0,4,1,1,0,1,0,-10
4,17,2,1,2,2,4,2,5.0,1.0,2.0,5,0,0,0,1,1,10
5,17,2,4,1,2,4,3,2.0,1.0,1.0,5,0,1,1,1,1,10
6,15,1,1,3,2,4,2,1.0,1.0,2.0,2,0,0,0,1,1,10
7,15,3,3,1,4,4,3,3.0,1.0,1.0,4,0,1,0,0,1,10
8,19,1,1,3,1,4,4,4.0,3.0,3.0,5,1,0,0,1,1,11
9,17,1,1,1,3,4,3,2.0,1.0,2.0,4,0,1,1,1,1,10
10,16,3,3,1,2,4,3,3.0,2.0,4.0,5,0,1,0,1,1,10
11,15,2,2,3,1,4,3,3.0,1.0,2.0,4,1,1,0,1,1,10
12,17,4,4,1,2,2,3,4.0,1.0,1.0,1,0,1,1,1,1,10
13,16,3,3,2,1,4,3,2.0,1.0,1.0,5,0,1,0,0,0,10
14,17,3,3,1,1,4,3,5.0,3.0,5.0,5,1,1,0,1,0,10
15,19,4,3,1,2,4,3,1.0,1.0,1.0,1,1,1,1,0,1,10
16,16,1,0,2,2,4,3,2.0,1.0,1.0,3,1,1,0,1,1,10
17,18,2,4,1,2,2,3,2.0,1.0,3.0,1,0,1,0,0,1,11
18,16,2,1,1,2,5,3,3.0,1.0,1.0,1,0,1,0,1,1,10
19,18,2,2,2,3,4,2,1.0,1.0,1.0,4,0,0,0,1,1,10
20,16,4,4,1,2,4,5,2.0,1.0,2.0,3,0,1,1,1,1,10
21,19,3,3,1,4,4,3,3.0,1.0,2.0,3,0,1,0,1,1,10
22,18,1,2,2,1,4,1,4.0,5.0,5.0,1,1,1,1,1,0,10
23,19,1,1,3,3,1,5,5.0,4.0,3.0,5,0,1,0,1,1,-10
24,18,3,4,2,2,4,2,5.0,3.0,4.0,1,1,0,1,0,1,10
25,16,4,4,1,2,5,3,2.0,1.0,3.0,2,1,0,1,0,1,10
26,18,4,4,1,2,3,2,4.0,1.0,4.0,2,1,1,0,1,0,10
27,17,3,2,1,1,5,5,5.0,2.0,4.0,5,1,1,0,1,1,13
28,15,3,1,2,4,4,4,2.0,2.0,3.0,3,0,0,1,1,0,10
29,19,2,3,1,1,4,4,4.0,1.0,1.0,2,0,1,0,1,1,-11
30,1987,3,2,1,1,5,3,4.0,2.0,2.0,5,1,0,0,1,0,10
31,17,1,1,2,1,4,5,5.0,1.0,3.0,2,1,0,0,1,0,10
32,15,2,2,3,4,5,4,5.0,2.0,3.0,5,1,1,1,0,1,10
33,18,2,1,4,2,4,3,2.0,4.0,5.0,3,1,1,1,1,1,10
34,18,1,1,2,3,5,3,2.0,1.0,,4,0,1,1,1,1,10
35,16,2,2,2,4,5,3,5.0,1.0,1.0,5,0,0,0,1,0,10
36,18,4,3,1,3,4,3,4.0,1.0,1.0,5,0,1,0,1,1,10
37,18,2,1,1,2,4,3,4.0,1.0,3.0,5,0,1,1,0,0,10
38,17,3,2,1,2,5,4,2.0,1.0,1.0,3,0,1,0,1,1,10
39,15,4,3,2,4,2,2,2.0,1.0,1.0,3,1,1,0,1,1,10
40,17,2,2,2,2,4,3,5.0,1.0,2.0,4,0,0,0,1,1,10
41,16,4,3,1,2,3,4,3.0,2.0,3.0,3,1,1,0,1,1,10
42,19,3,3,1,2,4,3,5.0,3.0,3.0,5,0,1,0,1,1,10
43,16,1,2,2,1,5,4,5.0,1.0,4.0,2,0,0,1,1,1,10
44,16,0,2,2,1,3,2,3.0,1.0,2.0,2,0,0,0,1,1,10
45,16,3,2,1,1,5,4,3.0,1.0,1.0,5,1,1,0,1,0,10
46,15,3,3,2,1,4,1,3.0,1.0,1.0,4,0,0,0,1,0,10
47,15,3,4,1,1,3,4,3.0,1.0,2.0,4,1,1,0,1,1,10
48,15,2,2,1,4,5,1,2.0,1.0,1.0,3,0,1,0,1,1,10
49,15,2,1,3,3,5,2,2.0,1.0,1.0,4,0,1,0,1,1,10
50,17,1,1,1,2,4,3,3.0,1.0,2.0,4,1,1,0,1,0,10
51,18,4,3,1,2,3,1,,1.0,3.0,2,0,1,0,1,1,10
52,16,1,1,1,1,3,4,4.0,3.0,3.0,1,0,1,1,1,1,10
53,16,1,2,1,3,1,3,2.0,1.0,2.0,4,0,1,0,1,1,11
54,16,2,2,1,2,5,1,5.0,1.0,1.0,4,0,1,0,1,0,10
55,16,4,2,2,2,5,3,3.0,1.0,1.0,1,0,1,0,1,1,10
56,18,4,4,1,2,2,4,4.0,1.0,1.0,4,0,1,0,1,1,11
57,16,1,1,4,3,4,4,3.0,1.0,1.0,5,0,0,0,1,1,10
58,17,2,2,1,1,4,5,3.0,1.0,1.0,5,0,1,0,1,1,-10
59,17,1,1,3,1,5,2,1.0,1.0,2.0,1,0,0,0,1,1,11
60,17,1,3,2,1,5,1,2.0,3.0,3.0,5,1,0,1,1,1,10
61,18,1,1,2,1,4,4,3.0,3.0,4.0,4,1,0,0,1,1,-11
62,17,4,3,2,2,2,5,5.0,1.0,4.0,5,1,1,1,1,1,10
63,17,2,2,2,1,4,4,4.0,2.0,3.0,4,1,1,0,1,1,-10
64,17,2,1,2,2,5,3,3.0,1.0,2.0,2,0,0,1,0,1,10
65,18,4,3,2,1,3,2,4.0,1.0,4.0,1,0,1,1,1,1,10
66,16,4,3,1,3,5,3,5.0,1.0,1.0,3,0,1,0,1,1,10
67,16,3,3,2,2,4,4,5.0,1.0,1.0,4,0,1,1,1,1,10
